orderNumber,productCode,productCode,quantityOrdered,productName,productLine,quantityInStock
10104,S50_1514,S50_1514,32,"1962 City of Detroit Streetcar",Trains,1645
10105,S10_4757,S10_4757,50,"1972 Alfa Romeo GTA","Classic Cars",3252
10105,S12_1108,S12_1108,41,"2001 Ferrari Enzo","Classic Cars",3619
10105,S12_3891,S12_3891,29,"1969 Ford Falcon","Classic Cars",1049
10105,S18_3140,S18_3140,22,"1903 Ford Model A","Vintage Cars",3913
10105,S18_3259,S18_3259,38,"Collectable Wooden Train",Trains,6450
10105,S18_4522,S18_4522,41,"1904 Buick Runabout","Vintage Cars",8290
10105,S24_2011,S24_2011,43,"18th century schooner",Ships,1898
10105,S24_3151,S24_3151,44,"1912 Ford Model T Delivery Wagon","Vintage Cars",9173
10105,S24_3816,S24_3816,50,"1940 Ford Delivery Sedan","Vintage Cars",6621
10105,S700_1138,S700_1138,41,"The Schooner Bluenose",Ships,1897
10105,S700_1938,S700_1938,29,"The Mayflower",Ships,737
10105,S700_2610,S700_2610,31,"The USS Constitution Ship",Ships,7083
10105,S700_3505,S700_3505,39,"The Titanic",Ships,1956
10105,S700_3962,S700_3962,22,"The Queen Mary",Ships,5088
10105,S72_3212,S72_3212,25,"Pont Yacht",Ships,414
10106,S18_1662,S18_1662,36,"1980s Black Hawk Helicopter",Planes,5330
10106,S18_2581,S18_2581,34,"P-51-D Mustang",Planes,992
10106,S18_3029,S18_3029,41,"1999 Yamaha Speed Boat",Ships,4259
10106,S18_3856,S18_3856,41,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",2378
10106,S24_1785,S24_1785,28,"1928 British Royal Navy Airplane",Planes,3627
10106,S24_2841,S24_2841,49,"1900s Vintage Bi-Plane",Planes,5942
10106,S24_3420,S24_3420,31,"1937 Horch 930V Limousine","Vintage Cars",2902
10106,S24_3949,S24_3949,50,"Corsair F4U ( Bird Cage)",Planes,6812
10106,S24_4278,S24_4278,26,"1900s Vintage Tri-Plane",Planes,2756
10106,S32_4289,S32_4289,33,"1928 Ford Phaeton Deluxe","Vintage Cars",136
10106,S50_1341,S50_1341,39,"1930 Buick Marquette Phaeton","Vintage Cars",7062
10106,S700_1691,S700_1691,31,"American Airlines: B767-300",Planes,5841
10106,S700_2047,S700_2047,30,"HMS Bounty",Ships,3501
10106,S700_2466,S700_2466,34,"America West Airlines B757-200",Planes,9653
10106,S700_2834,S700_2834,32,"ATA: B757-300",Planes,7106
10106,S700_3167,S700_3167,44,"F/A 18 Hornet 1/72",Planes,551
10106,S700_4002,S700_4002,48,"American Airlines: MD-11S",Planes,8820
10106,S72_1253,S72_1253,48,"Boeing X-32A JSF",Planes,4857
10107,S10_1678,S10_1678,30,"1969 Harley Davidson Ultimate Chopper",Motorcycles,7933
10107,S10_2016,S10_2016,39,"1996 Moto Guzzi 1100i",Motorcycles,6625
10107,S10_4698,S10_4698,27,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,5582
10107,S12_2823,S12_2823,21,"2002 Suzuki XREO",Motorcycles,9997
10107,S18_2625,S18_2625,29,"1936 Harley Davidson El Knucklehead",Motorcycles,4357
10107,S24_1578,S24_1578,25,"1997 BMW R 1100 S",Motorcycles,7003
10107,S24_2000,S24_2000,38,"1960 BSA Gold Star DBD34",Motorcycles,15
10107,S32_1374,S32_1374,20,"1997 BMW F650 ST",Motorcycles,178
10108,S12_1099,S12_1099,33,"1968 Ford Mustang","Classic Cars",68
10108,S12_3380,S12_3380,45,"1968 Dodge Charger","Classic Cars",9123
10108,S12_3990,S12_3990,39,"1970 Plymouth Hemi Cuda","Classic Cars",5663
10108,S12_4675,S12_4675,36,"1969 Dodge Charger","Classic Cars",7323
10108,S18_1889,S18_1889,38,"1948 Porsche 356-A Roadster","Classic Cars",8826
10108,S18_3278,S18_3278,26,"1969 Dodge Super Bee","Classic Cars",1917
10108,S18_3482,S18_3482,29,"1976 Ford Gran Torino","Classic Cars",9127
10108,S18_3782,S18_3782,43,"1957 Vespa GS150",Motorcycles,7689
10108,S18_4721,S18_4721,44,"1957 Corvette Convertible","Classic Cars",1249
10108,S24_2360,S24_2360,35,"1982 Ducati 900 Monster",Motorcycles,6840
10108,S24_3371,S24_3371,30,"1971 Alpine Renault 1600s","Classic Cars",7995
10108,S24_3856,S24_3856,40,"1956 Porsche 356A Coupe","Classic Cars",6600
10108,S24_4620,S24_4620,31,"1961 Chevrolet Impala","Classic Cars",7869
10108,S32_2206,S32_2206,27,"1982 Ducati 996 R",Motorcycles,9241
10108,S32_4485,S32_4485,31,"1974 Ducati 350 Mk3 Desmo",Motorcycles,3341
10108,S50_4713,S50_4713,34,"2002 Yamaha YZR M1",Motorcycles,600
10109,S18_1129,S18_1129,26,"1993 Mazda RX-7","Classic Cars",3975
10109,S18_1984,S18_1984,38,"1995 Honda Civic","Classic Cars",9772
10109,S18_2870,S18_2870,26,"1999 Indy 500 Monte Carlo SS","Classic Cars",8164
10109,S18_3232,S18_3232,46,"1992 Ferrari 360 Spider red","Classic Cars",8347
10109,S18_3685,S18_3685,47,"1948 Porsche Type 356 Roadster","Classic Cars",8990
10109,S24_2972,S24_2972,29,"1982 Lamborghini Diablo","Classic Cars",7723
10110,S18_1589,S18_1589,37,"1965 Aston Martin DB5","Classic Cars",9042
10110,S18_1749,S18_1749,42,"1917 Grand Touring Sedan","Vintage Cars",2724
10110,S18_2248,S18_2248,32,"1911 Ford Town Car","Vintage Cars",540
10110,S18_2325,S18_2325,33,"1932 Model A Ford J-Coupe","Vintage Cars",9354
10110,S18_2795,S18_2795,31,"1928 Mercedes-Benz SSK","Vintage Cars",548
10110,S18_4409,S18_4409,28,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",6553
10110,S18_4933,S18_4933,42,"1957 Ford Thunderbird","Classic Cars",3209
10110,S24_1046,S24_1046,36,"1970 Chevy Chevelle SS 454","Classic Cars",1005
10110,S24_1628,S24_1628,29,"1966 Shelby Cobra 427 S/C","Classic Cars",8197
10110,S24_1937,S24_1937,20,"1939 Chevrolet Deluxe Coupe","Vintage Cars",7332
10110,S24_2022,S24_2022,39,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",2847
10110,S24_2766,S24_2766,43,"1949 Jaguar XK 120","Classic Cars",2350
10110,S24_2887,S24_2887,46,"1952 Citroen-15CV","Classic Cars",1452
10110,S24_3191,S24_3191,27,"1969 Chevrolet Camaro Z28","Classic Cars",4695
10110,S24_3432,S24_3432,37,"2002 Chevy Corvette","Classic Cars",9446
10110,S24_3969,S24_3969,48,"1936 Mercedes Benz 500k Roadster","Vintage Cars",2081
10111,S18_1342,S18_1342,33,"1937 Lincoln Berline","Vintage Cars",8693
10111,S18_1367,S18_1367,48,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",8635
10111,S18_2957,S18_2957,28,"1934 Ford V8 Coupe","Vintage Cars",5649
10111,S18_3136,S18_3136,43,"18th Century Vintage Horse Carriage","Vintage Cars",5992
10111,S18_3320,S18_3320,39,"1917 Maxwell Touring Car","Vintage Cars",7913
10111,S24_4258,S24_4258,26,"1936 Chrysler Airflow","Vintage Cars",4710
10112,S10_1949,S10_1949,29,"1952 Alpine Renault 1300","Classic Cars",7305
10112,S18_2949,S18_2949,23,"1913 Ford Model T Speedster","Vintage Cars",4189
10113,S12_1666,S12_1666,21,"1958 Setra Bus","Trucks and Buses",1579
10113,S18_1097,S18_1097,49,"1940 Ford Pickup Truck","Trucks and Buses",2613
10113,S18_4668,S18_4668,50,"1939 Cadillac Limousine","Vintage Cars",6645
10113,S32_3522,S32_3522,23,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",814
10114,S10_4962,S10_4962,31,"1962 LanciaA Delta 16V","Classic Cars",6791
10114,S18_2319,S18_2319,39,"1964 Mercedes Tour Bus","Trucks and Buses",8258
10114,S18_2432,S18_2432,45,"1926 Ford Fire Engine","Trucks and Buses",2018
10114,S18_3232,S18_3232,48,"1992 Ferrari 360 Spider red","Classic Cars",8347
10114,S18_4600,S18_4600,41,"1940s Ford truck","Trucks and Buses",3128
10114,S24_2300,S24_2300,21,"1962 Volkswagen Microbus","Trucks and Buses",2327
10114,S24_2840,S24_2840,24,"1958 Chevy Corvette Limited Edition","Classic Cars",2542
10114,S32_1268,S32_1268,32,"1980’s GM Manhattan Express","Trucks and Buses",5099
10114,S32_2509,S32_2509,28,"1954 Greyhound Scenicruiser","Trucks and Buses",2874
10114,S700_2824,S700_2824,42,"1982 Camaro Z28","Classic Cars",6934
10115,S12_4473,S12_4473,46,"1957 Chevy Pickup","Trucks and Buses",6125
10115,S18_2238,S18_2238,46,"1998 Chrysler Plymouth Prowler","Classic Cars",4724
10115,S24_1444,S24_1444,47,"1970 Dodge Coronet","Classic Cars",4074
10115,S24_4048,S24_4048,44,"1992 Porsche Cayenne Turbo Silver","Classic Cars",6582
10115,S50_1392,S50_1392,27,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",1016
10116,S32_3207,S32_3207,27,"1950's Chicago Surface Lines Streetcar",Trains,8601
10117,S12_1108,S12_1108,33,"2001 Ferrari Enzo","Classic Cars",3619
10117,S12_3148,S12_3148,43,"1969 Corvair Monza","Classic Cars",6906
10117,S12_3891,S12_3891,39,"1969 Ford Falcon","Classic Cars",1049
10117,S18_3140,S18_3140,26,"1903 Ford Model A","Vintage Cars",3913
10117,S18_3259,S18_3259,21,"Collectable Wooden Train",Trains,6450
10117,S18_4027,S18_4027,22,"1970 Triumph Spitfire","Classic Cars",5545
10117,S18_4522,S18_4522,23,"1904 Buick Runabout","Vintage Cars",8290
10117,S24_2011,S24_2011,41,"18th century schooner",Ships,1898
10117,S50_1514,S50_1514,21,"1962 City of Detroit Streetcar",Trains,1645
10117,S700_1938,S700_1938,38,"The Mayflower",Ships,737
10117,S700_3962,S700_3962,45,"The Queen Mary",Ships,5088
10117,S72_3212,S72_3212,50,"Pont Yacht",Ships,414
10118,S700_3505,S700_3505,36,"The Titanic",Ships,1956
10119,S10_4757,S10_4757,46,"1972 Alfa Romeo GTA","Classic Cars",3252
10119,S18_1662,S18_1662,43,"1980s Black Hawk Helicopter",Planes,5330
10119,S18_3029,S18_3029,21,"1999 Yamaha Speed Boat",Ships,4259
10119,S18_3856,S18_3856,27,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",2378
10119,S24_2841,S24_2841,41,"1900s Vintage Bi-Plane",Planes,5942
10119,S24_3151,S24_3151,35,"1912 Ford Model T Delivery Wagon","Vintage Cars",9173
10119,S24_3420,S24_3420,20,"1937 Horch 930V Limousine","Vintage Cars",2902
10119,S24_3816,S24_3816,35,"1940 Ford Delivery Sedan","Vintage Cars",6621
10119,S24_3949,S24_3949,28,"Corsair F4U ( Bird Cage)",Planes,6812
10119,S700_1138,S700_1138,25,"The Schooner Bluenose",Ships,1897
10119,S700_2047,S700_2047,29,"HMS Bounty",Ships,3501
10119,S700_2610,S700_2610,38,"The USS Constitution Ship",Ships,7083
10119,S700_4002,S700_4002,26,"American Airlines: MD-11S",Planes,8820
10119,S72_1253,S72_1253,28,"Boeing X-32A JSF",Planes,4857
10120,S10_2016,S10_2016,29,"1996 Moto Guzzi 1100i",Motorcycles,6625
10120,S10_4698,S10_4698,46,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,5582
10120,S18_2581,S18_2581,29,"P-51-D Mustang",Planes,992
10120,S18_2625,S18_2625,46,"1936 Harley Davidson El Knucklehead",Motorcycles,4357
10120,S24_1578,S24_1578,35,"1997 BMW R 1100 S",Motorcycles,7003
10120,S24_1785,S24_1785,39,"1928 British Royal Navy Airplane",Planes,3627
10120,S24_2000,S24_2000,34,"1960 BSA Gold Star DBD34",Motorcycles,15
10120,S24_4278,S24_4278,29,"1900s Vintage Tri-Plane",Planes,2756
10120,S32_1374,S32_1374,22,"1997 BMW F650 ST",Motorcycles,178
10120,S32_4289,S32_4289,29,"1928 Ford Phaeton Deluxe","Vintage Cars",136
10120,S50_1341,S50_1341,49,"1930 Buick Marquette Phaeton","Vintage Cars",7062
10120,S700_1691,S700_1691,47,"American Airlines: B767-300",Planes,5841
10120,S700_2466,S700_2466,24,"America West Airlines B757-200",Planes,9653
10120,S700_2834,S700_2834,24,"ATA: B757-300",Planes,7106
10120,S700_3167,S700_3167,43,"F/A 18 Hornet 1/72",Planes,551
10121,S10_1678,S10_1678,34,"1969 Harley Davidson Ultimate Chopper",Motorcycles,7933
10121,S12_2823,S12_2823,50,"2002 Suzuki XREO",Motorcycles,9997
10121,S24_2360,S24_2360,32,"1982 Ducati 900 Monster",Motorcycles,6840
10121,S32_4485,S32_4485,25,"1974 Ducati 350 Mk3 Desmo",Motorcycles,3341
10121,S50_4713,S50_4713,44,"2002 Yamaha YZR M1",Motorcycles,600
10122,S12_1099,S12_1099,42,"1968 Ford Mustang","Classic Cars",68
10122,S12_3380,S12_3380,37,"1968 Dodge Charger","Classic Cars",9123
10122,S12_3990,S12_3990,32,"1970 Plymouth Hemi Cuda","Classic Cars",5663
10122,S12_4675,S12_4675,20,"1969 Dodge Charger","Classic Cars",7323
10122,S18_1129,S18_1129,34,"1993 Mazda RX-7","Classic Cars",3975
10122,S18_1889,S18_1889,43,"1948 Porsche 356-A Roadster","Classic Cars",8826
10122,S18_1984,S18_1984,31,"1995 Honda Civic","Classic Cars",9772
10122,S18_3232,S18_3232,25,"1992 Ferrari 360 Spider red","Classic Cars",8347
10122,S18_3278,S18_3278,21,"1969 Dodge Super Bee","Classic Cars",1917
10122,S18_3482,S18_3482,21,"1976 Ford Gran Torino","Classic Cars",9127
10122,S18_3782,S18_3782,35,"1957 Vespa GS150",Motorcycles,7689
10122,S18_4721,S18_4721,28,"1957 Corvette Convertible","Classic Cars",1249
10122,S24_2972,S24_2972,39,"1982 Lamborghini Diablo","Classic Cars",7723
10122,S24_3371,S24_3371,34,"1971 Alpine Renault 1600s","Classic Cars",7995
10122,S24_3856,S24_3856,43,"1956 Porsche 356A Coupe","Classic Cars",6600
10122,S24_4620,S24_4620,29,"1961 Chevrolet Impala","Classic Cars",7869
10122,S32_2206,S32_2206,31,"1982 Ducati 996 R",Motorcycles,9241
10123,S18_1589,S18_1589,26,"1965 Aston Martin DB5","Classic Cars",9042
10123,S18_2870,S18_2870,46,"1999 Indy 500 Monte Carlo SS","Classic Cars",8164
10123,S18_3685,S18_3685,34,"1948 Porsche Type 356 Roadster","Classic Cars",8990
10123,S24_1628,S24_1628,50,"1966 Shelby Cobra 427 S/C","Classic Cars",8197
10124,S18_1749,S18_1749,21,"1917 Grand Touring Sedan","Vintage Cars",2724
10124,S18_2248,S18_2248,42,"1911 Ford Town Car","Vintage Cars",540
10124,S18_2325,S18_2325,42,"1932 Model A Ford J-Coupe","Vintage Cars",9354
10124,S18_4409,S18_4409,36,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",6553
10124,S18_4933,S18_4933,23,"1957 Ford Thunderbird","Classic Cars",3209
10124,S24_1046,S24_1046,22,"1970 Chevy Chevelle SS 454","Classic Cars",1005
10124,S24_1937,S24_1937,45,"1939 Chevrolet Deluxe Coupe","Vintage Cars",7332
10124,S24_2022,S24_2022,22,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",2847
10124,S24_2766,S24_2766,32,"1949 Jaguar XK 120","Classic Cars",2350
10124,S24_2887,S24_2887,25,"1952 Citroen-15CV","Classic Cars",1452
10124,S24_3191,S24_3191,49,"1969 Chevrolet Camaro Z28","Classic Cars",4695
10124,S24_3432,S24_3432,43,"2002 Chevy Corvette","Classic Cars",9446
10124,S24_3969,S24_3969,46,"1936 Mercedes Benz 500k Roadster","Vintage Cars",2081
10125,S18_1342,S18_1342,32,"1937 Lincoln Berline","Vintage Cars",8693
10125,S18_2795,S18_2795,34,"1928 Mercedes-Benz SSK","Vintage Cars",548
10126,S10_1949,S10_1949,38,"1952 Alpine Renault 1300","Classic Cars",7305
10126,S10_4962,S10_4962,22,"1962 LanciaA Delta 16V","Classic Cars",6791
10126,S12_1666,S12_1666,21,"1958 Setra Bus","Trucks and Buses",1579
10126,S18_1097,S18_1097,38,"1940 Ford Pickup Truck","Trucks and Buses",2613
10126,S18_1367,S18_1367,42,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",8635
10126,S18_2432,S18_2432,43,"1926 Ford Fire Engine","Trucks and Buses",2018
10126,S18_2949,S18_2949,31,"1913 Ford Model T Speedster","Vintage Cars",4189
10126,S18_2957,S18_2957,46,"1934 Ford V8 Coupe","Vintage Cars",5649
10126,S18_3136,S18_3136,30,"18th Century Vintage Horse Carriage","Vintage Cars",5992
10126,S18_3320,S18_3320,38,"1917 Maxwell Touring Car","Vintage Cars",7913
10126,S18_4600,S18_4600,50,"1940s Ford truck","Trucks and Buses",3128
10126,S18_4668,S18_4668,43,"1939 Cadillac Limousine","Vintage Cars",6645
10126,S24_2300,S24_2300,27,"1962 Volkswagen Microbus","Trucks and Buses",2327
10126,S24_4258,S24_4258,34,"1936 Chrysler Airflow","Vintage Cars",4710
10126,S32_1268,S32_1268,43,"1980’s GM Manhattan Express","Trucks and Buses",5099
10126,S32_3522,S32_3522,26,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",814
10126,S700_2824,S700_2824,45,"1982 Camaro Z28","Classic Cars",6934
10127,S12_1108,S12_1108,46,"2001 Ferrari Enzo","Classic Cars",3619
10127,S12_3148,S12_3148,46,"1969 Corvair Monza","Classic Cars",6906
10127,S12_3891,S12_3891,42,"1969 Ford Falcon","Classic Cars",1049
10127,S12_4473,S12_4473,24,"1957 Chevy Pickup","Trucks and Buses",6125
10127,S18_2238,S18_2238,45,"1998 Chrysler Plymouth Prowler","Classic Cars",4724
10127,S18_2319,S18_2319,45,"1964 Mercedes Tour Bus","Trucks and Buses",8258
10127,S18_3232,S18_3232,22,"1992 Ferrari 360 Spider red","Classic Cars",8347
10127,S18_4027,S18_4027,25,"1970 Triumph Spitfire","Classic Cars",5545
10127,S24_1444,S24_1444,20,"1970 Dodge Coronet","Classic Cars",4074
10127,S24_2840,S24_2840,39,"1958 Chevy Corvette Limited Edition","Classic Cars",2542
10127,S24_4048,S24_4048,20,"1992 Porsche Cayenne Turbo Silver","Classic Cars",6582
10127,S32_2509,S32_2509,45,"1954 Greyhound Scenicruiser","Trucks and Buses",2874
10127,S32_3207,S32_3207,29,"1950's Chicago Surface Lines Streetcar",Trains,8601
10127,S50_1392,S50_1392,46,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",1016
10127,S50_1514,S50_1514,46,"1962 City of Detroit Streetcar",Trains,1645
10128,S18_3140,S18_3140,41,"1903 Ford Model A","Vintage Cars",3913
10128,S18_3259,S18_3259,41,"Collectable Wooden Train",Trains,6450
10128,S18_4522,S18_4522,43,"1904 Buick Runabout","Vintage Cars",8290
10128,S700_1938,S700_1938,32,"The Mayflower",Ships,737
10129,S10_4757,S10_4757,33,"1972 Alfa Romeo GTA","Classic Cars",3252
10129,S24_2011,S24_2011,45,"18th century schooner",Ships,1898
10129,S24_3151,S24_3151,41,"1912 Ford Model T Delivery Wagon","Vintage Cars",9173
10129,S24_3816,S24_3816,50,"1940 Ford Delivery Sedan","Vintage Cars",6621
10129,S700_1138,S700_1138,31,"The Schooner Bluenose",Ships,1897
10129,S700_2610,S700_2610,45,"The USS Constitution Ship",Ships,7083
10129,S700_3505,S700_3505,42,"The Titanic",Ships,1956
10129,S700_3962,S700_3962,30,"The Queen Mary",Ships,5088
10129,S72_3212,S72_3212,32,"Pont Yacht",Ships,414
10130,S18_3029,S18_3029,40,"1999 Yamaha Speed Boat",Ships,4259
10130,S18_3856,S18_3856,33,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",2378
10131,S18_1662,S18_1662,21,"1980s Black Hawk Helicopter",Planes,5330
10131,S24_2841,S24_2841,35,"1900s Vintage Bi-Plane",Planes,5942
10131,S24_3420,S24_3420,29,"1937 Horch 930V Limousine","Vintage Cars",2902
10131,S24_3949,S24_3949,50,"Corsair F4U ( Bird Cage)",Planes,6812
10131,S700_2047,S700_2047,22,"HMS Bounty",Ships,3501
10131,S700_2466,S700_2466,40,"America West Airlines B757-200",Planes,9653
10131,S700_4002,S700_4002,26,"American Airlines: MD-11S",Planes,8820
10131,S72_1253,S72_1253,21,"Boeing X-32A JSF",Planes,4857
10132,S700_3167,S700_3167,36,"F/A 18 Hornet 1/72",Planes,551
10133,S18_2581,S18_2581,49,"P-51-D Mustang",Planes,992
10133,S24_1785,S24_1785,41,"1928 British Royal Navy Airplane",Planes,3627
10133,S24_4278,S24_4278,46,"1900s Vintage Tri-Plane",Planes,2756
10133,S32_1374,S32_1374,23,"1997 BMW F650 ST",Motorcycles,178
10133,S32_4289,S32_4289,49,"1928 Ford Phaeton Deluxe","Vintage Cars",136
10133,S50_1341,S50_1341,27,"1930 Buick Marquette Phaeton","Vintage Cars",7062
10133,S700_1691,S700_1691,24,"American Airlines: B767-300",Planes,5841
10133,S700_2834,S700_2834,27,"ATA: B757-300",Planes,7106
10134,S10_1678,S10_1678,41,"1969 Harley Davidson Ultimate Chopper",Motorcycles,7933
10134,S10_2016,S10_2016,27,"1996 Moto Guzzi 1100i",Motorcycles,6625
10134,S10_4698,S10_4698,31,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,5582
10134,S12_2823,S12_2823,20,"2002 Suzuki XREO",Motorcycles,9997
10134,S18_2625,S18_2625,30,"1936 Harley Davidson El Knucklehead",Motorcycles,4357
10134,S24_1578,S24_1578,35,"1997 BMW R 1100 S",Motorcycles,7003
10134,S24_2000,S24_2000,43,"1960 BSA Gold Star DBD34",Motorcycles,15
10135,S12_1099,S12_1099,42,"1968 Ford Mustang","Classic Cars",68
10135,S12_3380,S12_3380,48,"1968 Dodge Charger","Classic Cars",9123
10135,S12_3990,S12_3990,24,"1970 Plymouth Hemi Cuda","Classic Cars",5663
10135,S12_4675,S12_4675,29,"1969 Dodge Charger","Classic Cars",7323
10135,S18_1889,S18_1889,48,"1948 Porsche 356-A Roadster","Classic Cars",8826
10135,S18_3278,S18_3278,45,"1969 Dodge Super Bee","Classic Cars",1917
10135,S18_3482,S18_3482,42,"1976 Ford Gran Torino","Classic Cars",9127
10135,S18_3782,S18_3782,45,"1957 Vespa GS150",Motorcycles,7689
10135,S18_4721,S18_4721,31,"1957 Corvette Convertible","Classic Cars",1249
10135,S24_2360,S24_2360,29,"1982 Ducati 900 Monster",Motorcycles,6840
10135,S24_2972,S24_2972,20,"1982 Lamborghini Diablo","Classic Cars",7723
10135,S24_3371,S24_3371,27,"1971 Alpine Renault 1600s","Classic Cars",7995
10135,S24_3856,S24_3856,47,"1956 Porsche 356A Coupe","Classic Cars",6600
10135,S24_4620,S24_4620,23,"1961 Chevrolet Impala","Classic Cars",7869
10135,S32_2206,S32_2206,33,"1982 Ducati 996 R",Motorcycles,9241
10135,S32_4485,S32_4485,30,"1974 Ducati 350 Mk3 Desmo",Motorcycles,3341
10135,S50_4713,S50_4713,44,"2002 Yamaha YZR M1",Motorcycles,600
10136,S18_1129,S18_1129,25,"1993 Mazda RX-7","Classic Cars",3975
10136,S18_1984,S18_1984,36,"1995 Honda Civic","Classic Cars",9772
10136,S18_3232,S18_3232,41,"1992 Ferrari 360 Spider red","Classic Cars",8347
10137,S18_1589,S18_1589,44,"1965 Aston Martin DB5","Classic Cars",9042
10137,S18_2870,S18_2870,37,"1999 Indy 500 Monte Carlo SS","Classic Cars",8164
10137,S18_3685,S18_3685,31,"1948 Porsche Type 356 Roadster","Classic Cars",8990
10137,S24_1628,S24_1628,26,"1966 Shelby Cobra 427 S/C","Classic Cars",8197
10138,S18_1749,S18_1749,33,"1917 Grand Touring Sedan","Vintage Cars",2724
10138,S18_2248,S18_2248,22,"1911 Ford Town Car","Vintage Cars",540
10138,S18_2325,S18_2325,38,"1932 Model A Ford J-Coupe","Vintage Cars",9354
10138,S18_4409,S18_4409,47,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",6553
10138,S18_4933,S18_4933,23,"1957 Ford Thunderbird","Classic Cars",3209
10138,S24_1046,S24_1046,45,"1970 Chevy Chevelle SS 454","Classic Cars",1005
10138,S24_1937,S24_1937,22,"1939 Chevrolet Deluxe Coupe","Vintage Cars",7332
