customerNumber,customerName,phone,state,country,salesRepEmployeeNumber,amount,paymentDate,orderNumber
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,43369.30,2004-03-26,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,45084.38,2003-11-25,10421
125,"Havel & Zbyszek Co","(26) 642-7555",NULL,Poland,NULL,NULL,NULL,NULL
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,10549.01,2003-01-28,10101
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,10549.01,2003-01-28,10230
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,10549.01,2003-01-28,10300
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,10549.01,2003-01-28,10323
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,24101.81,2003-10-18,10101
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,24101.81,2003-10-18,10230
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,24101.81,2003-10-18,10300
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,24101.81,2003-10-18,10323
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,33820.62,2004-03-24,10101
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,33820.62,2004-03-24,10230
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,33820.62,2004-03-24,10300
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,33820.62,2004-03-24,10323
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,7466.32,2004-11-18,10101
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,7466.32,2004-11-18,10230
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,7466.32,2004-11-18,10300
128,"Blauer See Auto, Co.","+49 69 66 90 2555",NULL,Germany,1504,7466.32,2004-11-18,10323
129,"Mini Wheels Co.",6505555787,CA,USA,1165,26248.78,2004-12-08,10111
129,"Mini Wheels Co.",6505555787,CA,USA,1165,26248.78,2004-12-08,10201
129,"Mini Wheels Co.",6505555787,CA,USA,1165,26248.78,2004-12-08,10333
129,"Mini Wheels Co.",6505555787,CA,USA,1165,23923.93,2003-12-11,10111
129,"Mini Wheels Co.",6505555787,CA,USA,1165,23923.93,2003-12-11,10201
129,"Mini Wheels Co.",6505555787,CA,USA,1165,23923.93,2003-12-11,10333
129,"Mini Wheels Co.",6505555787,CA,USA,1165,16537.85,2003-04-09,10111
129,"Mini Wheels Co.",6505555787,CA,USA,1165,16537.85,2003-04-09,10201
129,"Mini Wheels Co.",6505555787,CA,USA,1165,16537.85,2003-04-09,10333
131,"Land of Toys Inc.",2125557818,NY,USA,1323,22292.62,2003-03-12,10107
131,"Land of Toys Inc.",2125557818,NY,USA,1323,22292.62,2003-03-12,10248
131,"Land of Toys Inc.",2125557818,NY,USA,1323,22292.62,2003-03-12,10292
131,"Land of Toys Inc.",2125557818,NY,USA,1323,22292.62,2003-03-12,10329
131,"Land of Toys Inc.",2125557818,NY,USA,1323,50025.35,2004-12-02,10107
131,"Land of Toys Inc.",2125557818,NY,USA,1323,50025.35,2004-12-02,10248
131,"Land of Toys Inc.",2125557818,NY,USA,1323,50025.35,2004-12-02,10292
131,"Land of Toys Inc.",2125557818,NY,USA,1323,50025.35,2004-12-02,10329
131,"Land of Toys Inc.",2125557818,NY,USA,1323,35321.97,2004-09-11,10107
131,"Land of Toys Inc.",2125557818,NY,USA,1323,35321.97,2004-09-11,10248
131,"Land of Toys Inc.",2125557818,NY,USA,1323,35321.97,2004-09-11,10292
131,"Land of Toys Inc.",2125557818,NY,USA,1323,35321.97,2004-09-11,10329
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10104
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10128
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10133
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10153
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10156
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10190
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10203
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10205
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10212
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10244
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10246
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10262
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10279
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10311
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10350
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10355
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10358
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10378
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10379
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10380
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10383
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10386
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10394
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10412
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10417
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36251.03,2003-07-19,10424
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36140.38,2004-11-01,10104
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36140.38,2004-11-01,10128
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36140.38,2004-11-01,10133
141,"Euro+ Shopping Channel","(91) 555 94 44",NULL,Spain,1370,36140.38,2004-11-01,10153
